disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Atrial Fibrillation,Hypothyroidism,suppressed,7891,,,,0.13,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Sleep Apnea,suppressed,7938,,,,0.51,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Lung,suppressed,7982,,,,0.14,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Colorectal,suppressed,7965,,,,0.15,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Prostate,suppressed,7963,,,,0.33,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Other,suppressed,7749,,,,0.54,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Anxiety,suppressed,7885,,,,0.41,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,COPD,suppressed,6924,,,,0.22,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Kidney Disease,suppressed,7930,,,,0.14,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Liver Disease,suppressed,7877,,,,0.12,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Depression,suppressed,7477,,,,0.18,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Substance Use Disorder,suppressed,7911,,,,0.25,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Osteoarthritis,suppressed,7608,,,,0.45,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Hypothyroidism,suppressed,7906,,,,0.06,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Sleep Apnea,suppressed,7953,,,,0.18,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Lung,suppressed,7997,,,,0.09,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Colorectal,suppressed,7980,,,,0.05,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Prostate,suppressed,7977,,,,0.1,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Other,suppressed,7764,,,,0.21,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Anxiety,suppressed,7899,,,,0.19,,,,,,,,,,,,
Hypertension,COPD,Chronic Kidney Disease,suppressed,6879,,,,0.17,,,,,,,,,,,,
Hypertension,COPD,Chronic Liver Disease,suppressed,6831,,,,0.21,,,,,,,,,,,,
Hypertension,COPD,Depression,suppressed,6495,,,,0.31,,,,,,,,,,,,
Hypertension,COPD,Substance Use Disorder,suppressed,6867,,,,0.4,,,,,,,,,,,,
Hypertension,COPD,Osteoarthritis,suppressed,6607,,,,0.74,,,,,,,,,,,,
Hypertension,COPD,Hypothyroidism,suppressed,6857,,,,0.09,,,,,,,,,,,,
Hypertension,COPD,Sleep Apnea,suppressed,6892,,,,0.31,,,,,,,,,,,,
Hypertension,COPD,Cancer Lung,suppressed,6934,,,,0.1,,,,,,,,,,,,
Hypertension,COPD,Cancer Colorectal,suppressed,6919,,,,0.08,,,,,,,,,,,,
Hypertension,COPD,Cancer Prostate,suppressed,6915,,,,0.16,,,,,,,,,,,,
Hypertension,COPD,Cancer Other,suppressed,6730,,,,0.32,,,,,,,,,,,,
Hypertension,COPD,Anxiety,suppressed,6846,,,,0.32,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Chronic Liver Disease,suppressed,7825,,,,0.11,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Depression,suppressed,7422,,,,0.17,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Substance Use Disorder,suppressed,7855,,,,0.17,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Osteoarthritis,suppressed,7555,,,,0.51,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Hypothyroidism,suppressed,7850,,,,0.06,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Sleep Apnea,suppressed,7896,,,,0.23,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Lung,suppressed,7941,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Colorectal,suppressed,7924,,,,0.06,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Prostate,suppressed,7920,,,,0.12,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Other,suppressed,7709,,,,0.27,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Anxiety,suppressed,7843,,,,0.17,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Depression,suppressed,7374,,,,0.19,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Substance Use Disorder,suppressed,7813,,,,0.28,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Osteoarthritis,suppressed,7511,,,,0.52,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Hypothyroidism,suppressed,7800,,,,0.06,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Sleep Apnea,suppressed,7845,,,,0.23,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Lung,suppressed,7888,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Colorectal,suppressed,7871,,,,0.06,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Prostate,suppressed,7868,,,,0.1,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Other,suppressed,7654,,,,0.22,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Anxiety,suppressed,7794,,,,0.2,,,,,,,,,,,,
Hypertension,Depression,Substance Use Disorder,suppressed,7431,,,,0.35,,,,,,,,,,,,
Hypertension,Depression,Osteoarthritis,suppressed,7136,,,,0.84,,,,,,,,,,,,
Hypertension,Depression,Hypothyroidism,suppressed,7400,,,,0.09,,,,,,,,,,,,
Hypertension,Depression,Sleep Apnea,suppressed,7449,,,,0.32,,,,,,,,,,,,
Hypertension,Depression,Cancer Lung,suppressed,7485,,,,0.1,,,,,,,,,,,,
Hypertension,Depression,Cancer Colorectal,suppressed,7470,,,,0.09,,,,,,,,,,,,
Hypertension,Depression,Cancer Prostate,suppressed,7470,,,,0.19,,,,,,,,,,,,
Hypertension,Depression,Cancer Other,suppressed,7262,,,,0.34,,,,,,,,,,,,
Hypertension,Depression,Anxiety,suppressed,7449,,,,0.34,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Osteoarthritis,suppressed,7537,,,,0.76,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Hypothyroidism,suppressed,7833,,,,0.1,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Sleep Apnea,suppressed,7881,,,,0.24,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Lung,suppressed,7922,,,,0.15,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Colorectal,suppressed,7905,,,,0.09,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Prostate,suppressed,7902,,,,0.17,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Other,suppressed,7689,,,,0.39,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Anxiety,suppressed,7831,,,,0.37,,,,,,,,,,,,
Hypertension,Osteoarthritis,Hypothyroidism,suppressed,7531,,,,0.29,,,,,,,,,,,,
Hypertension,Osteoarthritis,Sleep Apnea,suppressed,7579,,,,1.06,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Lung,suppressed,7619,,,,0.25,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Colorectal,suppressed,7604,,,,0.33,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Prostate,suppressed,7602,,,,0.75,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Other,suppressed,7399,,,,1.1,,,,,,,,,,,,
Hypertension,Osteoarthritis,Anxiety,suppressed,7529,,,,0.88,,,,,,,,,,,,
Hypertension,Hypothyroidism,Sleep Apnea,suppressed,7873,,,,0.11,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Lung,suppressed,7917,,,,0.03,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Colorectal,suppressed,7900,,,,0.03,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Prostate,suppressed,7897,,,,0.07,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Other,suppressed,7689,,,,0.11,,,,,,,,,,,,
Hypertension,Hypothyroidism,Anxiety,suppressed,7823,,,,0.1,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Lung,suppressed,7964,,,,0.07,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Colorectal,suppressed,7947,,,,0.1,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Prostate,suppressed,7944,,,,0.17,,,,,,,,,,,,
Hypertension,Sleep Apnea,Cancer Other,suppressed,7730,,,,0.36,,,,,,,,,,,,
Hypertension,Sleep Apnea,Anxiety,suppressed,7868,,,,0.32,,,,,,,,,,,,
Hypertension,Cancer Lung,Cancer Colorectal,suppressed,7992,,,,0.03,,,,,,,,,,,,
Hypertension,Cancer Lung,Cancer Prostate,suppressed,7988,,,,0.07,,,,,,,,,,,,
Hypertension,Cancer Lung,Cancer Other,suppressed,7775,,,,0.12,,,,,,,,,,,,
Hypertension,Cancer Lung,Anxiety,suppressed,7910,,,,0.1,,,,,,,,,,,,
Hypertension,Cancer Colorectal,Cancer Prostate,suppressed,7971,,,,0.09,,,,,,,,,,,,
Hypertension,Cancer Colorectal,Cancer Other,suppressed,7761,,,,0.13,,,,,,,,,,,,
Hypertension,Cancer Colorectal,Anxiety,suppressed,7894,,,,0.1,,,,,,,,,,,,
Hypertension,Cancer Prostate,Cancer Other,suppressed,7752,,,,0.29,,,,,,,,,,,,
Hypertension,Cancer Prostate,Anxiety,suppressed,7891,,,,0.21,,,,,,,,,,,,
Hypertension,Cancer Other,Anxiety,suppressed,7675,,,,0.35,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Stroke Cerebrovascular,suppressed,11320,,,,0.63,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Heart Failure,suppressed,11405,,,,0.73,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Atrial Fibrillation,suppressed,11341,,,,1.14,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Peripheral Vascular Disease,suppressed,11402,,,,0.52,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,COPD,suppressed,9906,,,,0.77,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Chronic Kidney Disease,suppressed,11286,,,,0.48,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Chronic Liver Disease,suppressed,11244,,,,0.55,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Depression,suppressed,10683,,,,0.63,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Substance Use Disorder,suppressed,11244,,,,0.64,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Osteoarthritis,suppressed,10823,,,,2.06,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Hypothyroidism,suppressed,11316,,,,0.23,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Sleep Apnea,suppressed,11341,,,,0.97,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Lung,suppressed,11418,,,,0.19,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Colorectal,suppressed,11385,,,,0.23,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Prostate,suppressed,11376,,,,0.42,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Cancer Other,suppressed,11065,,,,0.81,,,,,,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Anxiety,suppressed,11268,,,,0.69,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Stroke Cerebrovascular,suppressed,13164,,,,0.86,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Heart Failure,suppressed,13340,,,,1.14,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Atrial Fibrillation,suppressed,13266,,,,1.68,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Peripheral Vascular Disease,suppressed,13318,,,,0.72,,,,,,,,,,,,
