disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Diabetes Mellitus,low_n,3415,11,0.00322,11,22.1,0.498,0.248,0.89,poisson_exact,below_1,,,,,,,
Hypertension,COPD,low_n,2752,11,0.004,11,16.98,0.648,0.323,1.159,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Prostate,low_n,6351,11,0.00173,11,40.26,0.273,0.136,0.489,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Cancer Colorectal,low_n,9062,11,0.00121,11,20.88,0.527,0.263,0.943,poisson_exact,below_1,,,,,,,
Atrial Fibrillation,Cancer Colorectal,low_n,10161,11,0.00108,11,21.13,0.521,0.26,0.932,poisson_exact,below_1,,,,,,,
Substance Use Disorder,Cancer Lung,low_n,10532,11,0.00104,11,4.78,2.3,1.148,4.115,poisson_exact,above_1,,,,,,,
Osteoarthritis,Cancer Colorectal,low_n,9207,11,0.00119,11,24.92,0.441,0.22,0.79,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Substance Use Disorder,low_n,9370,10,0.00107,10,11.31,0.884,0.424,1.625,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,COPD,low_n,5078,10,0.00197,10,23.94,0.418,0.2,0.768,poisson_exact,below_1,,,,,,,
Heart Failure,Cancer Lung,low_n,10517,10,0.00095,10,11.3,0.885,0.425,1.628,poisson_exact,includes_1,,,,,,,
COPD,Cancer Prostate,low_n,7960,10,0.00126,10,18.23,0.548,0.263,1.009,poisson_exact,includes_1,,,,,,,
Substance Use Disorder,Cancer Prostate,low_n,10210,10,0.00098,10,10.21,0.979,0.469,1.8,poisson_exact,includes_1,,,,,,,
Cancer Lung,Cancer Other,low_n,10024,10,0.001,10,11.36,0.88,0.422,1.619,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Lung,low_n,6545,9,0.00138,9,12.03,0.748,0.342,1.42,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Anxiety,low_n,6501,9,0.00138,9,17.36,0.519,0.237,0.984,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Osteoporosis,low_n,9052,9,0.00099,9,11.33,0.794,0.363,1.508,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Osteoporosis,low_n,10022,9,0.0009,9,6.4,1.407,0.643,2.67,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Cancer Colorectal,low_n,10033,9,0.0009,9,10.0,0.9,0.412,1.708,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,Chronic Kidney Disease,low_n,9575,9,0.00094,9,10.68,0.843,0.385,1.6,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,Substance Use Disorder,low_n,10382,9,0.00087,9,7.68,1.172,0.536,2.226,poisson_exact,includes_1,,,,,,,
COPD,Sleep Apnea,low_n,8120,9,0.00111,9,8.86,1.016,0.465,1.929,poisson_exact,includes_1,,,,,,,
Chronic Kidney Disease,Substance Use Disorder,low_n,9574,9,0.00094,9,7.2,1.25,0.572,2.373,poisson_exact,includes_1,,,,,,,
Chronic Kidney Disease,Cancer Colorectal,low_n,9584,9,0.00094,9,7.38,1.219,0.558,2.315,poisson_exact,includes_1,,,,,,,
Depression,Osteoarthritis,low_n,8804,9,0.00102,9,21.88,0.411,0.188,0.781,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Depression,low_n,6215,8,0.00129,8,13.68,0.585,0.253,1.153,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Chronic Liver Disease,low_n,8737,8,0.00092,8,12.24,0.654,0.282,1.288,poisson_exact,includes_1,,,,,,,
Heart Failure,Chronic Liver Disease,low_n,10019,8,0.0008,8,9.04,0.885,0.382,1.743,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Anxiety,low_n,10193,8,0.00078,8,23.76,0.337,0.145,0.664,poisson_exact,below_1,,,,,,,
Chronic Liver Disease,Cancer Other,low_n,9554,8,0.00084,8,9.3,0.86,0.371,1.695,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Anxiety,low_n,9243,8,0.00087,8,27.62,0.29,0.125,0.571,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Chronic Liver Disease,low_n,9063,7,0.00077,7,8.23,0.851,0.342,1.753,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Cancer Lung,low_n,9493,7,0.00074,7,9.0,0.778,0.313,1.603,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Chronic Kidney Disease,low_n,6098,7,0.00115,7,21.42,0.327,0.131,0.673,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Sleep Apnea,low_n,6505,7,0.00108,7,11.84,0.591,0.238,1.218,poisson_exact,includes_1,,,,,,,
Heart Failure,Anxiety,low_n,10429,7,0.00067,7,12.63,0.554,0.223,1.142,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Hypothyroidism,low_n,10034,7,0.0007,7,13.37,0.524,0.21,1.079,poisson_exact,includes_1,,,,,,,
COPD,Chronic Kidney Disease,low_n,7549,7,0.00093,7,14.96,0.468,0.188,0.964,poisson_exact,below_1,,,,,,,
Depression,Substance Use Disorder,low_n,9936,7,0.0007,7,4.41,1.586,0.638,3.268,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Rheumatoid Arthritis,low_n,9203,7,0.00076,7,10.61,0.66,0.265,1.359,poisson_exact,includes_1,,,,,,,
Hypertension,Chronic Kidney Disease,low_n,3410,6,0.00176,6,14.48,0.415,0.152,0.902,poisson_exact,below_1,,,,,,,
Hypertension,Cancer Lung,low_n,3551,6,0.00169,6,8.42,0.713,0.262,1.552,poisson_exact,includes_1,,,,,,,
