disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Chronic Liver Disease,Hypothyroidism,suppressed,4621,,,,0.14,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Sleep Apnea,suppressed,5170,,,,0.08,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Breast,suppressed,4892,,,,0.17,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Lung,suppressed,5166,,,,0.08,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Colorectal,suppressed,5145,,,,0.06,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Other,suppressed,4837,,,,0.22,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Anxiety,suppressed,5103,,,,0.31,,,,,,,,,,,,
Hypertension,Depression,Substance Use Disorder,suppressed,4839,,,,0.12,,,,,,,,,,,,
Hypertension,Depression,Osteoarthritis,suppressed,4116,,,,2.0,,,,,,,,,,,,
Hypertension,Depression,Rheumatoid Arthritis,suppressed,4733,,,,0.27,,,,,,,,,,,,
Hypertension,Depression,Osteoporosis,suppressed,4466,,,,0.7,,,,,,,,,,,,
Hypertension,Depression,Hypothyroidism,suppressed,4348,,,,0.35,,,,,,,,,,,,
Hypertension,Depression,Sleep Apnea,suppressed,4837,,,,0.14,,,,,,,,,,,,
Hypertension,Depression,Cancer Breast,suppressed,4582,,,,0.44,,,,,,,,,,,,
Hypertension,Depression,Cancer Lung,suppressed,4832,,,,0.24,,,,,,,,,,,,
Hypertension,Depression,Cancer Colorectal,suppressed,4812,,,,0.17,,,,,,,,,,,,
Hypertension,Depression,Cancer Other,suppressed,4529,,,,0.58,,,,,,,,,,,,
Hypertension,Depression,Anxiety,suppressed,4812,,,,0.82,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Osteoarthritis,suppressed,4456,,,,0.46,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Rheumatoid Arthritis,suppressed,5149,,,,0.07,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Osteoporosis,suppressed,4862,,,,0.18,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Hypothyroidism,suppressed,4707,,,,0.08,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Sleep Apnea,suppressed,5270,,,,0.03,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Breast,suppressed,4988,,,,0.11,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Lung,suppressed,5266,,,,0.07,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Colorectal,suppressed,5243,,,,0.04,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Other,suppressed,4927,,,,0.14,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Anxiety,suppressed,5201,,,,0.19,,,,,,,,,,,,
Hypertension,Osteoarthritis,Rheumatoid Arthritis,suppressed,4369,,,,1.14,,,,,,,,,,,,
Hypertension,Osteoarthritis,Osteoporosis,suppressed,4123,,,,3.02,,,,,,,,,,,,
Hypertension,Osteoarthritis,Hypothyroidism,suppressed,3991,,,,1.64,,,,,,,,,,,,
Hypertension,Osteoarthritis,Sleep Apnea,suppressed,4456,,,,0.54,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Breast,suppressed,4228,,,,2.23,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Lung,suppressed,4451,,,,0.93,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Colorectal,suppressed,4437,,,,0.85,,,,,,,,,,,,
Hypertension,Osteoarthritis,Cancer Other,suppressed,4172,,,,2.91,,,,,,,,,,,,
Hypertension,Osteoarthritis,Anxiety,suppressed,4403,,,,3.32,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Osteoporosis,suppressed,4760,,,,0.39,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Hypothyroidism,suppressed,4599,,,,0.2,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Sleep Apnea,suppressed,5149,,,,0.09,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Cancer Breast,suppressed,4877,,,,0.25,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Cancer Lung,suppressed,5144,,,,0.12,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Cancer Colorectal,suppressed,5123,,,,0.09,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Cancer Other,suppressed,4812,,,,0.33,,,,,,,,,,,,
Hypertension,Rheumatoid Arthritis,Anxiety,suppressed,5081,,,,0.45,,,,,,,,,,,,
Hypertension,Osteoporosis,Hypothyroidism,suppressed,4348,,,,0.54,,,,,,,,,,,,
Hypertension,Osteoporosis,Sleep Apnea,suppressed,4860,,,,0.17,,,,,,,,,,,,
Hypertension,Osteoporosis,Cancer Breast,suppressed,4602,,,,0.7,,,,,,,,,,,,
Hypertension,Osteoporosis,Cancer Lung,suppressed,4857,,,,0.35,,,,,,,,,,,,
Hypertension,Osteoporosis,Cancer Colorectal,suppressed,4837,,,,0.28,,,,,,,,,,,,
Hypertension,Osteoporosis,Cancer Other,suppressed,4551,,,,0.92,,,,,,,,,,,,
Hypertension,Osteoporosis,Anxiety,suppressed,4801,,,,1.18,,,,,,,,,,,,
Hypertension,Hypothyroidism,Sleep Apnea,suppressed,4706,,,,0.1,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Breast,suppressed,4445,,,,0.39,,,,,,,,,,,,
Hypertension,Hypothyroidism,Cancer Lung,suppressed,4700,,,,0.17,,,,,,,,,,,,
