disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Chronic Liver Disease,Hypothyroidism,suppressed,7800,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Sleep Apnea,suppressed,7845,,,,0.18,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Lung,suppressed,7888,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Colorectal,suppressed,7871,,,,0.04,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Prostate,suppressed,7868,,,,0.09,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Other,suppressed,7654,,,,0.15,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Anxiety,suppressed,7794,,,,0.22,,,,,,,,,,,,
Hypertension,Depression,Substance Use Disorder,suppressed,7431,,,,0.36,,,,,,,,,,,,
Hypertension,Depression,Osteoarthritis,suppressed,7136,,,,0.67,,,,,,,,,,,,
Hypertension,Depression,Hypothyroidism,suppressed,7400,,,,0.08,,,,,,,,,,,,
Hypertension,Depression,Sleep Apnea,suppressed,7449,,,,0.27,,,,,,,,,,,,
Hypertension,Depression,Cancer Lung,suppressed,7485,,,,0.08,,,,,,,,,,,,
Hypertension,Depression,Cancer Colorectal,suppressed,7470,,,,0.06,,,,,,,,,,,,
Hypertension,Depression,Cancer Prostate,suppressed,7470,,,,0.14,,,,,,,,,,,,
Hypertension,Depression,Cancer Other,suppressed,7262,,,,0.22,,,,,,,,,,,,
Hypertension,Depression,Anxiety,suppressed,7449,,,,0.37,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Osteoarthritis,suppressed,7537,,,,0.71,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Hypothyroidism,suppressed,7833,,,,0.08,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Sleep Apnea,suppressed,7881,,,,0.22,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Lung,suppressed,7922,,,,0.15,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Colorectal,suppressed,7905,,,,0.08,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Prostate,suppressed,7902,,,,0.16,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Cancer Other,suppressed,7689,,,,0.28,,,,,,,,,,,,
Hypertension,Substance Use Disorder,Anxiety,suppressed,7831,,,,0.42,,,,,,,,,,,,
Hypertension,Osteoarthritis,Hypothyroidism,suppressed,7531,,,,0.24,,,,,,,,,,,,
Hypertension,Osteoarthritis,Sleep Apnea,suppressed,7579,,,,0.76,,,,,,,,,,,,
